'-35.349995','149.089214','Phillip Salvos Store','Phillip Market Place, off Botany Street'
'-34.670254','150.853760','St Vinnies','80 TERRALONG ST'
'-34.565737','150.819067','St Vinnies','41 CENTRAL AVE'
'-27.466039','153.028103','Adelaide St CITY Centre','215 Adelaide Street'
'-37.862654','144.980218','Grey Street Op Shop','87A Grey Street'
'-31.892250','116.016256','Good Sammy','3  164-168 Great Eastern Hwy'
'-31.952228','115.856752','Good Sammy',' 289 Murray St'
'-31.953885','115.861835','Good Sammy','116 Murray St'
'-32.053234','115.749551','Good Sammy','142 High St'
'-31.956050','115.871680','Stamp Shop','107 Wellington St'
'-37.561264','143.854530','Been Around Before Store','406 Sturt Street'
'-37.562910','143.865697','Bakery Hill Salvos','Cnr Humffray & Victoria Streets'
'-37.540185','143.828064','Wendouree Salvos Store','1225 Howitt Street'
'-37.589011','143.839595','Sebastopol Salvos Store','Cnr Beverin & Gray Streets'
'-37.564879','143.861529','Baptist Bargain Centre','10 Eastwood St'
'-37.560684','143.856495','Brotherhood Community Shop','20 Armstrong St Nth'
'-37.569099','143.846175','De s Recycled Fashions','202 South St'
'-37.526580','143.824648','St Vincent de Paul','Cnr Gillies & Grevillea Rd'
'-37.591289','143.840684','St Vincent de Paul','112 Albert Street'
'-37.560802','143.862760','Lifeline Opportunity Shop','8 Shepperd St'
'-37.564968','143.859001','Outreach Furniture Shop','102 Albert St'
'-37.564153','143.860849','Wozzle Warehouse','11 Grenville St Sth'
'-37.539991','143.827598','Wozzle Warehouse','1231a Howitt St'
'-37.563755','143.865083','RSPCA Opportunity Shop','40 Main Rd'
'-37.563631','143.865240','Joyces Junkatique','38 Main Rd'
'-37.561195','143.853908','Peppermint Point','428a Sturt St'
'-37.600373','144.223363','Ballan District Health and Care Op Shop','159 Inglis St'
'-37.675520','144.436467','Salvos Store','122 Main Street'
'-37.674615','144.445834','St Vinnies','Manor Street'
'-38.004853','145.408961','St Johns Anglican Church Op Shop','1 St Georges Road'
'-38.202495','145.483175','Used To Be New',' Rossiter Road'
'-38.060312','145.458598','Salvation Army Family Store','Michael Street'
'-33.916234','150.925286','Treasures on Macquarie','66 Macquarie St'
'-33.955587','150.895918','Father Riley op shop','632 Hume Highway'
'-34.477218','150.420174','Father Riley Op Shop','15 Bundaroo Street'
'-32.837012','151.356222','Father Riley Op Shop','136 Vincent Street'
'-32.736957','151.560520','Father Riley Op Shop','250 High Street'
'-32.916429','151.748779','Father Riley Op Shop','Shop 2&3 / 104 Maitland Road'
'-35.342301','149.052227','Retro Rack','Cooleman Cr, Weston'
'-27.976147','153.402176','Help U Care','29 Margaret Street'
'-27.714235','153.203262','Salvos Store','61 Alamein Street'
'-27.933678','153.389568','Salvos Store','Shop 3, Treasure Cove Shopping Centre'
'-37.728323','144.939199','Trinos Op Shop','150A Cumberland Road, Pascoe Vale'
'-37.563318','143.863715','Vinnies','60 Bridge Mall, Ballarat, 3350'
'-34.895550','138.638449','Rotary Rummage Shop','Marden Shopping Centre, Marden'
'-34.931202','138.601875','Magdelene Bargain Centre','46 Carrington St, Adelaide '
'-34.933994','138.594611','Salvation Army','422 Morphett St, Adelaide'
'-35.013149','138.745184','Salvos Aldgate','312 Mt Barker Road,Aldgate SA 5154'
'-12.464578','130.840795','Salvos Darwin City','49 Mitchell Street, Darwin NT 0800'
'-12.387927','130.858508','Anglicare Op Shop - St Peters','Cnr Sabine And Trower Rds, Rapid Creek NT 0810'
'-21.159470','148.864188','Lifeline - Mirani','Victoria St, Mirani QLD 4754'
'-17.523457','146.031754','Lifeline - Innisfail','10 Fitzgerald Esp, Innisfail QLD 4860'
'-31.961995','141.460239','Vinnies - Broken Hill','95 Argent Street, Broken Hill NSW 2880'
'-37.829557','140.784216','Lifeline - Mt Gambier','80a Commercial St East, Mt Gambier SA 5290'
'-37.830859','140.786273','Lifeline - Mt Gambier','4 Crouch St, Mt Gambier SA 5290'
'-37.825566','140.777133','Lifeline - Mt Gambier','17 Elizabeth St, Mt Gambier SA 5290'
'-37.828593','140.782198','Lifeline - Mt Gambier','93 Commercial St West, Mt Gambier SA 5290'
'-37.826477','140.777666','Salvos - Mount Gambier','9 Caldwell Street, Mt Gambier SA 5290'
'-42.739192','147.243768','Salvos Bridgewater','25 Green Point Road, Bridgewater TAS 7030'
'-42.735381','147.244841','Vinnies - Bridgewater','5 Hurst Street,Bridgewater TAS 7030'
'-41.049480','145.904346','Lifeline - Burnie','19 Alexander St,Burnie TAS 7320'
'-41.176175','146.350064','Lifeline - Devonport','4 Kempling St, Devonport TAS 7310'
'-41.179841','146.369557','Lifeline - East Devonport','23 Murray St, East Devonport TAS 7310'
'-41.178663','146.360114','St Vinnies Devonport','22 Edward Street, Devonport TAS 7310'
'-41.180536','146.369705','St Vinnies East Devonport','18 Murray Street, East Devonport TAS 7310'
'-41.156051','146.171725','Lifeline - Ulverstone','24a King Edward St, Ulverstone TAS 7315'
'-41.156286','146.173776','Salvos Store  Ulverstone','23 Victoria Street, Ulverstone TAS 7315'
'-41.156674','146.171926','St Vinnies Ulverstone','25b King Edward Street, Ulverstone TAS 7315'
'-41.114209','146.073759','St Vinnies - Penguin','85 Main Street, Penguin TAS 7316'
'-42.780841','147.064244','St Vinnies - New Norfolk','4 Charles St, New Norfolk TAS 7140'
'-42.781518','147.061677','Salvos Store New Norfolk','5 High Street, New Norfolk TAS 7140'
'-41.524418','146.656736','Vinnies Deloraine','5 Emu Bay Road, Deloraine TAS 7304'
'-40.842280','145.122590','Vinnies Smithon','132 Nelson Street, Smithton TAS 7330'
'-42.866218','147.372369','Vinnies - Rosny','2 Gordon'
'-42.901138','147.444949','Vinnies Rokeby','High Street, Rokeby TAS 7019'
'-41.160577','147.517609','Salvos Scottsdale','13 King Street, Scottsdale TAS 7260'
'-32.010030','115.834190','The Pink Room','31 Ardross St Applecross WA 6153'
'-32.155420','116.015356','Drug ARM WA','56 Fourth Road, Armadale WA'
'-32.155233','116.014467','Good Sammy','40 Fouth Road, Armadale WA'
'-32.055112','115.744511','DOWN TOWN RAGS','45 HIGH STREET, Fremantle WA'
'-32.053366','115.749244','DUFUS CLOTHING SHOP','130 HIGH STREET, Fremantle WA'
'-32.053655','115.750127','Anglicare','181 High Street, Fremantle WA'
'-23.847047','151.258189','Vinnies Gladstone','185 Goondoon Street, Gladstone '
'-19.261164','146.816208','Townsville Cbd Salvos Store','398 Flinders Mall, Townsville QLD 4810'
'-19.290037','146.796616','Lifeline - Rising Sun','276 Charters Towers Rd, Rising Sun QLD 4812'
'-19.270313','146.780239','Townsville Currajong Mega Salvos Store','216-230 Woolcock St, Currajong QLD 4812'
'-19.265669','146.780777','Lifeline - Garbutt','Unit 2/233 Ingham Rd, Garbutt QLD 4814'
'-38.162150','145.932999','Mawarra','40 Palmerston St, Warragul'
'-37.024863','145.141855','Salvos','victoria st, seymour, vic'
'-37.024608','145.134678','Vinnies','Wallis St'
'-37.029906','145.146555','Go Again op shop','Behind the library, Anzac Avenue'
'-37.202287','145.046053','Salvos store','Powlett St'
'-32.940007','151.659944','Good Samaritans','278 Main Road, Cardiff'
'-32.836374','151.356346','Good Samaritans','112 Vincent Street, Cessnock'
'-33.426449','151.342312','Good Samaritans','125 Mann St, Gosford'
'-32.935703','151.739448','Good Samaritans','Unit 3, 12 Hassal Street, Hamilton South'
'-32.731939','151.554007','Good Samaritans','453 High Street, Maitland'
'-32.898488','151.738460','Good Samaritans','131 Maitland Road, Mayfield'
'-32.723179','152.144658','Good Samaritans','11 Yacaba Street, Nelson Bay'
'-32.922467','151.714821','Good Samaritans','12 Alma Road, New Lambton'
'-32.901900','151.669089','Good Samaritans','145 Nelson Street, Wallsend'
'-33.401501','151.346821','Father Riley op shop','Unit 2, 9 Brooks Avenue, WYOMING'
'-32.559900','151.172474','Father Riley op shop','251 John Street SINGLETON NSW'
'-34.749618','149.722188','Father Riley op shop','404 Auburn Street GOULBURN NSW'
'-33.886358','151.011635','Father Riley op shop','38A Helen St, SEFTON NSW'
'-28.864918','153.045915','LifeLine','95 Barker Street Casino NSW 2470'
'-28.868654','153.556667','LifeLine','247 River Street Ballina NSW 2478'
'-28.645978','153.616420','LifeLine','Marvell Street, Byron Bay NSW 2481'
'-28.581729','152.981991','LifeLine','31 Summerland Way Kyogle NSW 2474'
'-28.809779','153.277004','LifeLine','71 Magellan Street Lismore NSW 2480'
'-28.809235','153.267545','LifeLine','18 Casino Street South Lismore NSW 2480'
'-28.858807','153.049303','Salvos Store','Crn Johnson & Walker Streets, Casino'
'-28.808855','153.277110','Salvos Store','18 Carrington Street Lismore NSW 2480'
'-37.790739','145.095485','Yours Now Mine','321 Doncaster Road, Greythorn VIC'
'-36.053244','146.933500','Albury Family Store','1100 Mate Street NORTH ALBURY'
'-30.511619','151.652195','Armidale Family Store','99 Ohio Street ARMIDALE'
'-30.380225','150.609763','Barraba Family Store','77 Queen Street BARRABA'
'-33.417427','149.577624','Bathurst Family Store','167 George Street BATHURST'
'-36.673156','149.840058','Bega Family Store','91 Auckland Street BEGA'
'-29.869302','150.572696','Bingara Family Store','47 Maitland Street BINGARA'
'-34.481734','150.412862','Bowral Family Store','Lot 4/87 Kirkham Road BOWRAL'
'-31.959349','141.463133','Broken Hill Family Store','220 Argent Street BROKEN HILL'
